Aktivitätstyp,Datum,Favorit,Titel,Distanz,Kalorien,Zeit,Ø Herzfrequenz,Maximale Herzfrequenz,Ø Schrittfrequenz (Laufen),Max. Schrittfrequenz (Laufen),Ø Pace,Beste Pace,Anstieg gesamt,Abstieg gesamt,Ø Schrittlänge,Durchschnittliches vertikales Verhältnis,Ø vertikale Bewegung,Training Stress Score®,Grit,Flow,Tauchzeit,Minimale Temperatur,Oberflächenpause,Dekompression,Beste Rundenzeit,Anzahl der Runden,Maximale Temperatur,Zeit in Bewegung,Verstrichene Zeit,Minimale Höhe,Maximale Höhe
Laufen,2022-04-20 06:08:34,false,"Dübendorf Laufen","1.34","78","00:08:02.2","121","139","165","172","5:59","5:02","15","9","1.01","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nein","02:02.67","2","0.0","00:08:01.5","00:09:15.9","427","445"
Laufen,2022-04-06 07:40:14,false,"Dübendorf Laufen","5.02","329","00:26:35","153","181","166","174","5:18","4:46","39","41","1.14","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nein","00:36.43","6","0.0","00:26:32","00:28:11","427","466"
Laufen,2022-04-04 07:18:20,false,"Dübendorf Laufen","11.01","757","00:58:18","164","190","166","176","5:18","4:06","270","271","1.14","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nein","00:00.88","12","0.0","00:58:08","00:59:59","432","682"
Laufen,2022-03-27 09:14:21,false,"München Laufen","5.01","329","00:26:22","150","174","168","173","5:16","4:10","25","33","1.13","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nein","00:01.33","6","0.0","00:26:20","00:26:22","498","520"
Laufbandtraining,2022-03-24 08:05:24,false,"Laufbandtraining","2.00","132","00:10:28","153","175","170","175","5:14","5:10","--","--","1.05","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nein","04:48.72","2","0.0","00:10:28","00:10:28","--","--"
Laufbandtraining,2022-03-23 07:55:39,false,"Laufbandtraining","2.00","126","00:11:33","136","152","168","172","5:47","4:38","--","--","1.18","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nein","01:28.66","3","0.0","00:11:33","00:11:33","--","--"
Laufen,2022-03-21 07:41:41,false,"Dübendorf Laufen","2.12","132","00:11:14","142","162","168","173","5:18","4:35","8","3","1.12","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nein","00:35.90","3","0.0","00:11:13","00:11:14","431","440"
Laufbandtraining,2022-03-17 19:03:43,false,"Laufbandtraining","3.00","175","00:16:00","137","162","163","172","5:20","4:59","--","--","0.96","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nein","03:04.81","3","0.0","00:15:55","00:16:00","--","--"
Laufen,2022-03-15 06:43:55,false,"Dübendorf Laufen","2.16","136","00:11:51","137","153","167","174","5:29","4:31","13","12","1.09","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nein","00:01.11","4","0.0","00:11:49","00:11:52","426","439"
Laufen,2022-03-14 07:02:00,false,"Dübendorf Laufen","3.00","189","00:15:46","147","166","166","173","5:15","4:29","22","23","1.15","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nein","00:00.94","4","0.0","00:15:44","00:16:32","430","448"
Laufen,2022-03-13 07:12:52,false,"Dübendorf Laufen","3.05","188","00:15:50","143","155","167","173","5:12","4:40","18","18","1.16","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nein","00:18.82","4","0.0","00:15:49","00:16:12","428","448"
Laufen,2022-03-07 06:59:51,false,"Benediktbeuern Laufen","8.11","565","00:44:54","161","186","168","176","5:32","4:37","126","119","1.07","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nein","00:39.21","9","0.0","00:44:49","00:49:56","632","734"
Laufen,2022-03-03 07:54:22,false,"Dübendorf Laufen","3.01","201","00:16:14","150","170","167","171","5:23","4:24","38","32","1.11","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nein","00:04.49","4","0.0","00:16:12","00:16:14","430","467"
Laufen,2022-02-28 06:53:05,false,"Dübendorf Laufen","4.08","269","00:21:32","152","175","168","174","5:17","4:28","48","46","1.13","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nein","00:25.69","5","0.0","00:21:26","00:21:54","427","466"
Laufen,2022-02-26 09:18:19,false,"Dübendorf Laufen","3.08","197","00:15:29","152","171","167","173","5:01","4:23","30","18","1.19","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nein","00:26.35","4","0.0","00:15:28","00:15:29","426","454"
Laufen,2022-02-25 11:10:41,false,"Dübendorf Laufen","1.07","67","00:05:26.5","140","153","166","171","5:06","4:27","4","9","1.18","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nein","00:01.73","3","0.0","00:05:25.6","00:05:32.9","430","439"
Laufen,2022-02-24 08:36:02,false,"Dübendorf Laufen","2.01","126","00:10:28","141","155","167","173","5:13","4:45","6","7","1.15","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nein","00:02.25","3","0.0","00:10:22","00:10:28","428","442"
Laufen,2022-02-23 07:50:33,false,"Dübendorf Laufen","3.09","204","00:16:15","150","170","167","172","5:16","4:40","42","44","1.14","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nein","00:28.70","4","0.0","00:16:14","00:16:15","430","477"
Laufen,2022-02-21 06:01:13,false,"Dübendorf Laufen","2.03","123","00:10:42","135","150","164","170","5:16","4:46","13","10","1.15","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nein","00:09.91","3","0.0","00:10:42","00:10:42","427","437"
Laufen,2022-02-20 06:18:43,false,"Dübendorf Laufen","2.23","150","00:12:24","152","189","162","172","5:34","5:03","13","12","1.11","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nein","01:13.36","3","0.0","00:12:14","00:14:41","425","440"
Laufen,2022-02-15 08:16:48,false,"Dübendorf Laufen","2.35","152","00:12:46","142","164","163","170","5:26","4:23","6","8","1.13","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nein","02:01.22","3","0.0","00:12:39","00:13:50","429","440"
Laufen,2022-02-12 07:25:37,false,"Benediktbeuern Laufen","3.19","207","00:16:11","154","177","168","197","5:04","4:35","40","38","1.17","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nein","00:57.26","4","0.0","00:16:03","00:17:01","638","682"
Laufen,2022-02-08 07:24:59,false,"Dübendorf Laufen","3.28","212","00:18:02","143","154","166","176","5:29","2:05","12","10","1.09","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nein","01:38.12","4","0.0","00:17:59","00:19:17","433","447"
Laufen,2022-02-07 07:02:19,false,"Benediktbeuern Laufen","8.65","597","00:56:37","142","159","164","171","6:33","5:25","124","120","0.93","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nein","04:06.53","9","0.0","00:56:34","00:56:37","631","698"
Laufen,2022-02-04 07:32:22,false,"Dübendorf Laufen","4.05","259","00:20:34","152","173","165","192","5:05","4:30","9","12","1.19","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nein","00:16.73","5","0.0","00:20:32","00:23:20","431","448"
Laufen,2022-02-01 07:34:40,false,"Dübendorf Laufen","3.07","198","00:15:52","147","164","166","172","5:10","4:19","39","35","1.16","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nein","00:23.49","4","0.0","00:15:52","00:15:52","432","478"
Laufen,2022-01-28 07:30:31,false,"Dübendorf Laufen","3.11","193","00:16:05","142","152","170","175","5:10","4:32","8","9","1.14","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nein","00:35.15","4","0.0","00:16:04","00:16:15","435","442"
Laufen,2022-01-27 07:31:29,false,"Dübendorf Laufen","4.02","271","00:21:41","151","179","166","174","5:24","4:22","77","77","1.12","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nein","00:04.24","5","0.0","00:21:33","00:22:05","435","512"
